title,be_verb
1. Percy Shelley – Ozymandias,0
2. Robert Frost – Fire & Ice ,0
3. Emily Dickinson – I heard a fly buzz – when I died ,2
4. William Shakespeare – Shall I Compare Thee To A Summer’s Day?,1
5. Langston Hughes – So Tired Blues ,0
6. Edgar Allan Poe – A Dream Within A Dream ,1
7. John Donne –  No Man Is an Island,1
8. Ogden Nash – A Word To Husbands ,0
9. Natasha Tretheway – Housekeeping,0
10. Strickland Gillilan – Lines on the Antiquity of Microbes (also known as Fleas),1
11. William Carlos Williams – This Is Just To Say,0
12. Dr. Seuss – Green Eggs & Ham ,1
13. Pablo Neruda – If You Forget Me,1
14. Joyce Kilmer – Trees,0
15. Derek Walcott – Love After Love ,1
"16. Robert Burn – A Red, Red, Rose",2
17. Margaret Atwood – You Fit Into Me,3
18. Leunig – How To Get There,0
19. Sylvia Plath – Metaphors,0
20. Anais Nin – Risk,0
21. Maya Angelou – Awaking in New York,1
22. William Butler Yeats – Death,0
23. Thomas Hardy – How Great My Grief,1
